External Key,Name,Description Html,State,Priority,Start Date,Target Date,Is Draft,Parent External Key,Issue Type,Labels,Assignee Emails,Custom Properties
WI-066,Nowy monitor na stanowisku #66,<p>Zgłoszenie helpdesk: Nowy monitor na stanowisku. Lokalizacja: Biuro B. Numer sprawy wewnętrznej HD-0066.</p>,Nowe,low,2026-02-01,,False,EPIK-NET,Zmiana,"[""Hardware""]","[""network.admin@example.com""]","{""Lokalizacja"": ""Biuro B"", ""Numer inwentarzowy"": ""IT-1066"", ""Czas rozwiązania (h)"": 3}"
WI-067,Wolne łącze Wi‑Fi #67,<p>Zgłoszenie helpdesk: Wolne łącze Wi‑Fi. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0067.</p>,W kolejce,high,,,False,EPIK-ID,Incydent,"[""Sieć"", ""Pilne""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1067"", ""Wpływ"": ""Zespół""}"
WI-068,Konfiguracja skrzynki shared #68,<p>Zgłoszenie helpdesk: Konfiguracja skrzynki shared. Lokalizacja: Remote. Numer sprawy wewnętrznej HD-0068.</p>,W trakcie,medium,2026-02-01,2026-03-15,False,EPIK-APPS,Zmiana,"[""Dostęp"", ""Software""]",[],"{""Lokalizacja"": ""Remote"", ""Numer inwentarzowy"": ""IT-1068""}"
WI-069,Aktualizacja Windows #69,<p>Zgłoszenie helpdesk: Aktualizacja Windows. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0069.</p>,Oczekuje na usera,low,,,False,EPIK-ONBOARD,Zmiana,"[""Software""]","[""helpdesk.lead@example.com"", ""network.admin@example.com""]","{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1069"", ""Czas rozwiązania (h)"": 6}"
WI-070,Awaria switcha piętro 2 #70,<p>Zgłoszenie helpdesk: Awaria switcha piętro 2. Lokalizacja: Biuro B. Numer sprawy wewnętrznej HD-0070.</p>,Rozwiązane,urgent,2026-02-01,,False,EPIK-NET,Incydent,"[""Sieć"", ""Pilne""]",[],"{""Lokalizacja"": ""Biuro B"", ""Numer inwentarzowy"": ""IT-1070"", ""Wpływ"": ""Zespół""}"
WI-071,Laptop nie startuje #71,<p>Zgłoszenie helpdesk: Laptop nie startuje. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0071.</p>,Nowe,high,,,False,EPIK-ID,Incydent,"[""Hardware"", ""Pilne""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1071"", ""Wpływ"": ""Cała firma""}"
WI-072,Brak dostępu do VPN #72,<p>Zgłoszenie helpdesk: Brak dostępu do VPN. Lokalizacja: Remote. Numer sprawy wewnętrznej HD-0072.</p>,W kolejce,urgent,2026-02-01,2026-03-15,False,EPIK-APPS,Incydent,"[""Dostęp"", ""Sieć""]","[""onboarding@example.com""]","{""Lokalizacja"": ""Remote"", ""Numer inwentarzowy"": ""IT-1072"", ""Czas rozwiązania (h)"": 1, ""Wpływ"": ""Jeden użytkownik""}"
WI-073,Drukarka nie drukuje #73,<p>Zgłoszenie helpdesk: Drukarka nie drukuje. Lokalizacja: Biuro B. Numer sprawy wewnętrznej HD-0073.</p>,W trakcie,medium,,,False,EPIK-ONBOARD,Incydent,"[""Drukarka"", ""Hardware""]",[],"{""Lokalizacja"": ""Biuro B"", ""Numer inwentarzowy"": ""IT-1073"", ""Wpływ"": ""Zespół""}"
WI-074,Reset hasła AD #74,<p>Zgłoszenie helpdesk: Reset hasła AD. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0074.</p>,Oczekuje na usera,low,2026-02-01,,False,EPIK-NET,Task,"[""Dostęp"", ""Software""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1074""}"
WI-075,Instalacja pakietu Office #75,<p>Zgłoszenie helpdesk: Instalacja pakietu Office. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0075.</p>,Rozwiązane,medium,,,False,EPIK-ID,Zmiana,"[""Software""]","[""nieistniejacy.user@example.com""]","{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1075"", ""Czas rozwiązania (h)"": 4}"
WI-076,Nowy monitor na stanowisku #76,<p>Zgłoszenie helpdesk: Nowy monitor na stanowisku. Lokalizacja: Biuro B. Numer sprawy wewnętrznej HD-0076.</p>,Nowe,low,2026-02-01,2026-03-15,False,EPIK-APPS,Zmiana,"[""Hardware""]",[],"{""Lokalizacja"": ""Biuro B"", ""Numer inwentarzowy"": ""IT-1076""}"
WI-077,Wolne łącze Wi‑Fi #77,<p>Zgłoszenie helpdesk: Wolne łącze Wi‑Fi. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0077.</p>,W kolejce,high,,,False,EPIK-ONBOARD,Incydent,"[""Sieć"", ""Pilne""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1077"", ""Wpływ"": ""Cała firma""}"
WI-078,Konfiguracja skrzynki shared #78,<p>Zgłoszenie helpdesk: Konfiguracja skrzynki shared. Lokalizacja: Remote. Numer sprawy wewnętrznej HD-0078.</p>,W trakcie,medium,2026-02-01,,False,EPIK-NET,Zmiana,"[""Dostęp"", ""Software""]","[""network.admin@example.com"", ""nieistniejacy.user@example.com""]","{""Lokalizacja"": ""Remote"", ""Numer inwentarzowy"": ""IT-1078"", ""Czas rozwiązania (h)"": 7}"
WI-079,Aktualizacja Windows #79,<p>Zgłoszenie helpdesk: Aktualizacja Windows. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0079.</p>,Oczekuje na usera,low,,,False,EPIK-ID,Zmiana,"[""Software""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1079""}"
WI-080,Awaria switcha piętro 2 #80,<p>Zgłoszenie helpdesk: Awaria switcha piętro 2. Lokalizacja: Biuro B. Numer sprawy wewnętrznej HD-0080.</p>,Rozwiązane,urgent,2026-02-01,2026-03-15,False,EPIK-APPS,Incydent,"[""Sieć"", ""Pilne""]",[],"{""Lokalizacja"": ""Biuro B"", ""Numer inwentarzowy"": ""IT-1080"", ""Wpływ"": ""Cała firma""}"
WI-081,Laptop nie startuje #81,<p>Zgłoszenie helpdesk: Laptop nie startuje. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0081.</p>,Nowe,high,,,False,EPIK-ONBOARD,Incydent,"[""Hardware"", ""Pilne""]","[""helpdesk.lead@example.com""]","{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1081"", ""Czas rozwiązania (h)"": 2, ""Wpływ"": ""Jeden użytkownik""}"
WI-082,Brak dostępu do VPN #82,<p>Zgłoszenie helpdesk: Brak dostępu do VPN. Lokalizacja: Remote. Numer sprawy wewnętrznej HD-0082.</p>,W kolejce,urgent,2026-02-01,,False,EPIK-NET,Incydent,"[""Dostęp"", ""Sieć""]",[],"{""Lokalizacja"": ""Remote"", ""Numer inwentarzowy"": ""IT-1082"", ""Wpływ"": ""Zespół""}"
WI-083,Drukarka nie drukuje #83,<p>Zgłoszenie helpdesk: Drukarka nie drukuje. Lokalizacja: Biuro B. Numer sprawy wewnętrznej HD-0083.</p>,W trakcie,medium,,,False,EPIK-ID,Incydent,"[""Drukarka"", ""Hardware""]",[],"{""Lokalizacja"": ""Biuro B"", ""Numer inwentarzowy"": ""IT-1083"", ""Wpływ"": ""Cała firma""}"
WI-084,Reset hasła AD #84,<p>Zgłoszenie helpdesk: Reset hasła AD. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0084.</p>,Oczekuje na usera,low,2026-02-01,2026-03-15,False,EPIK-APPS,Task,"[""Dostęp"", ""Software""]","[""onboarding@example.com""]","{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1084"", ""Czas rozwiązania (h)"": 5}"
WI-085,Instalacja pakietu Office #85,<p>Zgłoszenie helpdesk: Instalacja pakietu Office. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0085.</p>,Rozwiązane,medium,,,False,EPIK-ONBOARD,Zmiana,"[""Software""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1085""}"
WI-086,Nowy monitor na stanowisku #86,<p>Zgłoszenie helpdesk: Nowy monitor na stanowisku. Lokalizacja: Biuro B. Numer sprawy wewnętrznej HD-0086.</p>,Nowe,low,2026-02-01,,False,EPIK-NET,Zmiana,"[""Hardware""]",[],"{""Lokalizacja"": ""Biuro B"", ""Numer inwentarzowy"": ""IT-1086""}"
WI-087,Wolne łącze Wi‑Fi #87,<p>Zgłoszenie helpdesk: Wolne łącze Wi‑Fi. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0087.</p>,W kolejce,high,,,False,EPIK-ID,Incydent,"[""Sieć"", ""Pilne""]","[""nieistniejacy.user@example.com"", ""onboarding@example.com""]","{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1087"", ""Czas rozwiązania (h)"": 8, ""Wpływ"": ""Jeden użytkownik""}"
WI-088,Konfiguracja skrzynki shared #88,<p>Zgłoszenie helpdesk: Konfiguracja skrzynki shared. Lokalizacja: Remote. Numer sprawy wewnętrznej HD-0088.</p>,W trakcie,medium,2026-02-01,2026-03-15,False,EPIK-APPS,Zmiana,"[""Dostęp"", ""Software""]",[],"{""Lokalizacja"": ""Remote"", ""Numer inwentarzowy"": ""IT-1088""}"
WI-089,Aktualizacja Windows #89,<p>Zgłoszenie helpdesk: Aktualizacja Windows. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0089.</p>,Oczekuje na usera,low,,,False,EPIK-ONBOARD,Zmiana,"[""Software""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1089""}"
WI-090,Awaria switcha piętro 2 #90,<p>Zgłoszenie helpdesk: Awaria switcha piętro 2. Lokalizacja: Biuro B. Numer sprawy wewnętrznej HD-0090.</p>,Rozwiązane,urgent,2026-02-01,,False,EPIK-NET,Incydent,"[""Sieć"", ""Pilne""]","[""network.admin@example.com""]","{""Lokalizacja"": ""Biuro B"", ""Numer inwentarzowy"": ""IT-1090"", ""Czas rozwiązania (h)"": 3, ""Wpływ"": ""Jeden użytkownik""}"
WI-091,Laptop nie startuje #91,<p>Zgłoszenie helpdesk: Laptop nie startuje. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0091.</p>,Nowe,high,,,False,EPIK-ID,Incydent,"[""Hardware"", ""Pilne""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1091"", ""Wpływ"": ""Zespół""}"
WI-092,Brak dostępu do VPN #92,<p>Zgłoszenie helpdesk: Brak dostępu do VPN. Lokalizacja: Remote. Numer sprawy wewnętrznej HD-0092.</p>,W kolejce,urgent,2026-02-01,2026-03-15,False,EPIK-APPS,Incydent,"[""Dostęp"", ""Sieć""]",[],"{""Lokalizacja"": ""Remote"", ""Numer inwentarzowy"": ""IT-1092"", ""Wpływ"": ""Cała firma""}"
WI-093,Drukarka nie drukuje #93,<p>Zgłoszenie helpdesk: Drukarka nie drukuje. Lokalizacja: Biuro B. Numer sprawy wewnętrznej HD-0093.</p>,W trakcie,medium,,,False,EPIK-ONBOARD,Incydent,"[""Drukarka"", ""Hardware""]","[""helpdesk.lead@example.com""]","{""Lokalizacja"": ""Biuro B"", ""Numer inwentarzowy"": ""IT-1093"", ""Czas rozwiązania (h)"": 6, ""Wpływ"": ""Jeden użytkownik""}"
WI-094,Reset hasła AD #94,<p>Zgłoszenie helpdesk: Reset hasła AD. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0094.</p>,Oczekuje na usera,low,2026-02-01,,False,EPIK-NET,Task,"[""Dostęp"", ""Software""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1094""}"
WI-095,Instalacja pakietu Office #95,<p>Zgłoszenie helpdesk: Instalacja pakietu Office. Lokalizacja: Biuro A. Numer sprawy wewnętrznej HD-0095.</p>,Rozwiązane,medium,,,False,EPIK-ID,Zmiana,"[""Software""]",[],"{""Lokalizacja"": ""Biuro A"", ""Numer inwentarzowy"": ""IT-1095""}"
WI-096,Nowy monitor na stanowisku #96,<p>Zgłoszenie helpdesk: Nowy monitor na stanowisku. Lokalizacja: Biuro B. Numer sprawy wewnętrznej HD-0096.</p>,Nowe,low,2026-02-01,2026-03-15,False,EPIK-APPS,Zmiana,"[""Hardware""]","[""onboarding@example.com"", ""helpdesk.lead@example.com""]","{""Lokalizacja"": ""Biuro B"", ""Numer inwentarzowy"": ""IT-1096"", ""Czas rozwiązania (h)"": 1}"
